"Institution","Country","leadership","total_projects"
"Institute of Public Health","Burundi","Gueladio Cisse",1
"International Health Support Centre","Chad","Gueladio Cisse",1
"Centre Suisse de Recherches Scientifiques","Côte d'Ivoire","Gueladio Cisse",1
"Felix Houphouët Boigny University","Côte d'Ivoire","Gueladio Cisse",1
"Nangui Abrogoua University","Côte d'Ivoire","Gueladio Cisse",1
"Institute of Public Health","Mauritania","Gueladio Cisse",1
"Medical School of Rwanda","Rwanda","Gueladio Cisse",1
"Cheikh Anta Diop University","Senegal","Gueladio Cisse",1
"IRESSEF","Senegal","Gueladio Cisse",1
"Ziguinchor University","Senegal","Gueladio Cisse",1
"University of Lome","Togo","Gueladio Cisse",1
"Makerere University","Uganda","Gueladio Cisse",1
"Wits Planetary Health","South Africa","Joint Projects",7
"CeSHHAR","Zimbabwe","Joint Projects",5
"IBM Research Africa","South Africa","Joint Projects",3
"University of Pretoria","South Africa","Joint Projects",3
"Climate Systems Analysis Group","South Africa","Joint Projects",2
"University Peleforo Gon Coulibaly","Côte d'Ivoire","Joint Projects",1
"Aga Khan University","Kenya","Matthew Chersich",4
"Section 27","South Africa","Matthew Chersich",2
"University of Botswana","Botswana","Matthew Chersich",1
"Institut de Recherche en Sciences de la SantÃ©","Burkina Faso","Matthew Chersich",1
"Aga Khan University Kilifi Research Centre","Kenya","Matthew Chersich",1
"University of Cape Town/The Health Foundation","South Africa","Matthew Chersich",1
"Centre for Infectious Disease Epidemiology and Research, University of Cape Town","South Africa","Matthew Chersich",1
"Western Cape Provincial Health","South Africa","Matthew Chersich",1
"Empilweni Services and Research Unit (ESRU)","South Africa","Matthew Chersich",1
"Quantium Health","South Africa","Matthew Chersich",1
"Sydney Brenner Institute for Molecular Bioscience","South Africa","Matthew Chersich",1
"Rahima Moosa Mother and Child Hospital","South Africa","Matthew Chersich",1
"Division of Human Genetics, University of the Witwatersrand","South Africa","Matthew Chersich",1
"Global Change Institute University of the Witwatersrand","South Africa","Matthew Chersich",1
"South African Medical Research Council","South Africa","Matthew Chersich",1
"South African Weather Service","South Africa","Matthew Chersich",1
"Stellenbosch University","South Africa","Matthew Chersich",1
"University of Yaoundé","Cameroon","Pilot Projects",1
"Federal University of Technology","Nigeria","Pilot Projects",1
"Midlands State University","Zimbabwe","Pilot Projects",1
