"Institution","Country","CHAMNHA","HEAT","ENBEL","GHAP","HAPI","BioHEAT","HIGH_Horizons","total_projects"
"Wits Planetary Health","South Africa",1,1,1,1,1,1,1,7
"CeSHHAR","Zimbabwe",1,1,0,1,1,0,1,5
"Aga Khan University","Kenya",1,0,1,1,0,0,1,4
"IBM Research Africa","South Africa",0,1,0,1,0,1,0,3
"University of Pretoria","South Africa",0,1,0,1,1,0,0,3
"Climate Systems Analysis Group","South Africa",0,1,0,1,0,0,0,2
"Section 27","South Africa",0,0,0,1,1,0,0,2
"University of Botswana","Botswana",0,0,1,0,0,0,0,1
"Higher Institute of Public Health","Burkina Faso",0,1,0,0,0,0,0,1
"Institut de Recherche en Sciences de la SantÃ©","Burkina Faso",1,0,0,0,0,0,0,1
"Institute of Public Health","Burundi",0,1,0,0,0,0,0,1
"University of Yaoundé","Cameroon",0,1,0,0,0,0,0,1
"International Health Support Centre","Chad",0,1,0,0,0,0,0,1
"Centre Suisse de Recherches Scientifiques","Côte d'Ivoire",0,1,0,0,0,0,0,1
"Felix Houphouët Boigny University","Côte d'Ivoire",0,1,0,0,0,0,0,1
"Nangui Abrogoua University","Côte d'Ivoire",0,1,0,0,0,0,0,1
"University Peleforo Gon Coulibaly","Côte d'Ivoire",0,1,0,0,0,0,0,1
"Aga Khan University Kilifi Research Centre","Kenya",1,0,0,0,0,0,0,1
"Institute of Public Health","Mauritania",0,1,0,0,0,0,0,1
"Federal University of Technology","Nigeria",0,1,0,0,0,0,0,1
"Medical School of Rwanda","Rwanda",0,1,0,0,0,0,0,1
"Cheikh Anta Diop University","Senegal",0,1,0,0,0,0,0,1
"IRESSEF","Senegal",0,1,0,0,0,0,0,1
"Ziguinchor University","Senegal",0,1,0,0,0,0,0,1
"Centre for Infectious Disease Epidemiology and Research, University of Cape Town","South Africa",0,0,0,1,0,0,0,1
"Division of Human Genetics, University of the Witwatersrand","South Africa",0,0,0,0,0,1,0,1
"Empilweni Services and Research Unit (ESRU)","South Africa",0,0,0,0,0,1,0,1
"Global Change Institute University of the Witwatersrand","South Africa",0,0,0,0,1,0,0,1
"Quantium Health","South Africa",0,0,0,1,0,0,0,1
"Rahima Moosa Mother and Child Hospital","South Africa",0,0,0,0,0,1,0,1
"South African Medical Research Council","South Africa",1,0,0,0,0,0,0,1
"South African Weather Service","South Africa",0,0,0,0,1,0,0,1
"Stellenbosch University","South Africa",0,0,0,0,0,1,0,1
"Sydney Brenner Institute for Molecular Bioscience","South Africa",0,0,0,0,0,1,0,1
"University of Cape Town/The Health Foundation","South Africa",0,0,0,1,0,0,0,1
"Western Cape Provincial Health","South Africa",0,0,0,1,0,0,0,1
"University of Lome","Togo",0,1,0,0,0,0,0,1
"Makerere University","Uganda",0,1,0,0,0,0,0,1
"Midlands State University","Zimbabwe",0,1,0,0,0,0,0,1
